config_name,fold,accuracy,balanced_accuracy,f1
64 (ReLU + ADAM lr=0.1),1,0.9909979423868313,0.934044551798175,0.889763779527559
64 (ReLU + ADAM lr=0.1),2,0.9919624485596708,0.9375,0.9010292953285828
64 (ReLU + ADAM lr=0.1),3,0.9924768518518519,0.9473631239935587,0.9086651053864169
64 (ReLU + ADAM lr=0.1),4,0.9918338477366255,0.9374329039184112,0.899604743083004
64 (ReLU + ADAM lr=0.1),5,0.9920910493827161,0.9346148684916801,0.9018355945730248
64 (ReLU + ADAM lr=0.01),1,0.975758744855967,0.7246041331186259,0.6077003121748179
64 (ReLU + ADAM lr=0.01),2,0.9628986625514403,0.653683574879227,0.4154002026342452
64 (ReLU + ADAM lr=0.01),3,0.9678497942386831,0.6784084809447128,0.4845360824742268
64 (ReLU + ADAM lr=0.01),4,0.9664351851851852,0.5972222222222222,0.32558139534883723
64 (ReLU + ADAM lr=0.01),5,0.9610982510288066,0.5877952227589909,0.2789034564958284
64 (ReLU + ADAM lr=0.001),1,0.9583333333333334,0.5,0.0
64 (ReLU + ADAM lr=0.001),2,0.9583333333333334,0.5,0.0
64 (ReLU + ADAM lr=0.001),3,0.9583333333333334,0.5,0.0
64 (ReLU + ADAM lr=0.001),4,0.9583333333333334,0.5,0.0
64 (ReLU + ADAM lr=0.001),5,0.9583333333333334,0.5,0.0
64 (ReLU + ADAM lr=0.0001),1,0.8611754115226338,0.5644457863660762,0.12626467017401863
64 (ReLU + ADAM lr=0.0001),2,0.956983024691358,0.5015096618357487,0.008888888888888889
64 (ReLU + ADAM lr=0.0001),3,0.9493312757201646,0.4953032742887815,0.0
64 (ReLU + ADAM lr=0.0001),4,0.9572402263374485,0.4994296833064949,0.0
64 (ReLU + ADAM lr=0.0001),5,0.951195987654321,0.5280126140633387,0.10177514792899409
64 (ReLU + SGD lr=0.1),1,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.1),2,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.1),3,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.1),4,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.1),5,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.01),1,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.01),2,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.01),3,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.01),4,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.01),5,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.001),1,0.8364197530864198,0.45336822329575954,0.01776061776061776
64 (ReLU + SGD lr=0.001),2,0.5652006172839507,0.5325415995705851,0.08695652173913043
64 (ReLU + SGD lr=0.001),3,0.9292695473251029,0.48483628556092323,0.0
64 (ReLU + SGD lr=0.001),4,0.9583333333333334,0.5,0.0
64 (ReLU + SGD lr=0.001),5,0.8475437242798354,0.5100979602791197,0.07201565557729941
64 (ReLU + SGD lr=0.0001),1,0.6466692386831275,0.39348497047772407,0.026916947051531786
64 (ReLU + SGD lr=0.0001),2,0.554076646090535,0.5540458937198067,0.09381941722200444
64 (ReLU + SGD lr=0.0001),3,0.5632073045267489,0.5255971551261406,0.08462471365045142
64 (ReLU + SGD lr=0.0001),4,0.422582304526749,0.36292270531400966,0.04121289771513987
64 (ReLU + SGD lr=0.0001),5,0.30941358024691357,0.3267579173376275,0.04004290311047551
64 (ReLU + RMSPROP lr=0.1),1,0.9585905349794238,0.5495840042941492,0.17223650385604114
64 (ReLU + RMSPROP lr=0.1),2,0.9644418724279835,0.7806964573268922,0.5762452107279693
64 (ReLU + RMSPROP lr=0.1),3,0.955054012345679,0.6584473966720343,0.383053839364519
64 (ReLU + RMSPROP lr=0.1),4,0.9634130658436214,0.7764694041867954,0.5659801678108314
64 (ReLU + RMSPROP lr=0.1),5,0.974022633744856,0.8388352120236178,0.6892307692307692
64 (ReLU + RMSPROP lr=0.01),1,0.9917052469135802,0.9093196457326892,0.8916876574307305
64 (ReLU + RMSPROP lr=0.01),2,0.9886831275720165,0.8641975308641976,0.8428571428571429
64 (ReLU + RMSPROP lr=0.01),3,0.9924125514403292,0.9148550724637681,0.9011725293132329
64 (ReLU + RMSPROP lr=0.01),4,0.990869341563786,0.9007648953301127,0.8798646362098139
64 (ReLU + RMSPROP lr=0.01),5,0.9907407407407407,0.893317230273752,0.8762886597938144
64 (ReLU + RMSPROP lr=0.001),1,0.9574331275720165,0.49953032742887815,0.0
64 (ReLU + RMSPROP lr=0.001),2,0.9555684156378601,0.5007716049382716,0.00860832137733142
64 (ReLU + RMSPROP lr=0.001),3,0.9556970164609053,0.5001006441223832,0.005772005772005772
64 (ReLU + RMSPROP lr=0.001),4,0.9582690329218106,0.4999664519592056,0.0
64 (ReLU + RMSPROP lr=0.001),5,0.9583333333333334,0.5,0.0
64 (ReLU + RMSPROP lr=0.0001),1,0.9583333333333334,0.5,0.0
64 (ReLU + RMSPROP lr=0.0001),2,0.9256687242798354,0.5515968867418143,0.13859910581222057
64 (ReLU + RMSPROP lr=0.0001),3,0.9583333333333334,0.5,0.0
64 (ReLU + RMSPROP lr=0.0001),4,0.9574331275720165,0.5054347826086957,0.02359882005899705
64 (ReLU + RMSPROP lr=0.0001),5,0.9583333333333334,0.5,0.0
64 (Tanh + ADAM lr=0.1),1,0.992991255144033,0.947631508319914,0.9143754909662215
64 (Tanh + ADAM lr=0.1),2,0.9939557613168725,0.9481347289318304,0.9252782193958664
64 (Tanh + ADAM lr=0.1),3,0.9940200617283951,0.9496443907675791,0.9262490087232356
64 (Tanh + ADAM lr=0.1),4,0.9931841563786008,0.9396135265700483,0.9150641025641025
64 (Tanh + ADAM lr=0.1),5,0.9928626543209876,0.9328032742887815,0.9101214574898785
64 (Tanh + ADAM lr=0.01),1,0.9482381687242798,0.5080179817498658,0.04280618311533888
64 (Tanh + ADAM lr=0.01),2,0.9520318930041153,0.5314009661835749,0.11190476190476191
64 (Tanh + ADAM lr=0.01),3,0.9570473251028807,0.5258990874932904,0.0972972972972973
64 (Tanh + ADAM lr=0.01),4,0.9523533950617284,0.5315687063875469,0.1125748502994012
64 (Tanh + ADAM lr=0.01),5,0.9644418724279835,0.6020866881374127,0.3264311814859927
64 (Tanh + ADAM lr=0.001),1,0.9583333333333334,0.5,0.0
64 (Tanh + ADAM lr=0.001),2,0.9583333333333334,0.5,0.0
64 (Tanh + ADAM lr=0.001),3,0.9583333333333334,0.5,0.0
64 (Tanh + ADAM lr=0.001),4,0.9583333333333334,0.5,0.0
64 (Tanh + ADAM lr=0.001),5,0.9583333333333334,0.5,0.0
