config_name,hidden_layers,activation,optimizer,learning_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
64 (ReLU + ADAM lr=0.1),[64],ReLU,adam,0.1,0.9929012345679012,0.0007733177149368706,0.944927536231884,0.004693734190304543,0.9129759285802775,0.008383700376016606
64 (ReLU + ADAM lr=0.01),[64],ReLU,adam,0.01,0.9658950617283951,0.006174125380472005,0.5954643048845947,0.0731787454889928,0.29470827431990226,0.19870115740323088
64 (ReLU + ADAM lr=0.001),[64],ReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (ReLU + ADAM lr=0.0001),[64],ReLU,adam,0.0001,0.9369855967078189,0.03496164217607859,0.5124798711755233,0.018589368694843438,0.039187277345015085,0.04835335546710064
64 (ReLU + SGD lr=0.1),[64],ReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (ReLU + SGD lr=0.01),[64],ReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (ReLU + SGD lr=0.001),[64],ReLU,sgd,0.001,0.8320987654320987,0.13535185246180695,0.4973161567364466,0.03319817566682575,0.03327545476831786,0.037485257362627325
64 (ReLU + SGD lr=0.0001),[64],ReLU,sgd,0.0001,0.4960905349794239,0.12437995040953807,0.4217928073000537,0.09820102917254998,0.053976613837662946,0.029099230888219717
64 (ReLU + RMSPROP lr=0.1),[64],ReLU,rmsprop,0.1,0.9656378600823045,0.009422992214025032,0.6838969404186795,0.14530322471649262,0.40352265974181023,0.28452541056170033
64 (ReLU + RMSPROP lr=0.01),[64],ReLU,rmsprop,0.01,0.9915123456790124,0.00032533720783624277,0.9040526033279657,0.009286252826047711,0.8880475436649334,0.005782855131755113
64 (ReLU + RMSPROP lr=0.001),[64],ReLU,rmsprop,0.001,0.9575617283950617,0.0008607613441708724,0.49959742351046704,0.00044909287521958095,0.0,0.0
64 (ReLU + RMSPROP lr=0.0001),[64],ReLU,rmsprop,0.0001,0.9510802469135802,0.013997441963218074,0.5109769189479334,0.022223194607927266,0.028653295128939826,0.05730659025787965
64 (Tanh + ADAM lr=0.1),[64],Tanh,adam,0.1,0.9936728395061728,0.000554029301145518,0.9429683306494901,0.005554972080727993,0.9212784502592019,0.005783050884730521
64 (Tanh + ADAM lr=0.01),[64],Tanh,adam,0.01,0.9581790123456791,0.0012767153956780484,0.5052334943639292,0.009783335772946239,0.02119039331709015,0.036750561252537874
64 (Tanh + ADAM lr=0.001),[64],Tanh,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Tanh + ADAM lr=0.0001),[64],Tanh,adam,0.0001,0.6538580246913581,0.15088005395782003,0.5371712292002147,0.12183921274303916,0.09882421807551729,0.07770739582343714
64 (Tanh + SGD lr=0.1),[64],Tanh,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Tanh + SGD lr=0.01),[64],Tanh,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Tanh + SGD lr=0.001),[64],Tanh,sgd,0.001,0.7195473251028807,0.08086782968627872,0.502361782071927,0.08733502277473429,0.06838610945989936,0.046155913531415536
64 (Tanh + SGD lr=0.0001),[64],Tanh,sgd,0.0001,0.542746913580247,0.11357826663002013,0.5352925389157273,0.11066527562908912,0.09461040300894005,0.03711134459377344
64 (Tanh + RMSPROP lr=0.1),[64],Tanh,rmsprop,0.1,0.9510802469135802,0.012224413002863437,0.7188137412775093,0.08754220334684217,0.43685653041168926,0.12455139000586873
64 (Tanh + RMSPROP lr=0.01),[64],Tanh,rmsprop,0.01,0.9618827160493828,0.006043746149269357,0.5945517981749866,0.1346672106828781,0.21768301047080518,0.25431478251745065
64 (Tanh + RMSPROP lr=0.001),[64],Tanh,rmsprop,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (Tanh + RMSPROP lr=0.0001),[64],Tanh,rmsprop,0.0001,0.8766460905349793,0.10113090229067957,0.6227053140096619,0.08108652262680996,0.18592656236980726,0.03120483514789325
64 (LeakyReLU + ADAM lr=0.1),[64],LeakyReLU,adam,0.1,0.9926440329218107,0.0005540293011455324,0.9400697799248524,0.0062376120435142955,0.909105942520509,0.006474897273042024
64 (LeakyReLU + ADAM lr=0.01),[64],LeakyReLU,adam,0.01,0.9616769547325102,0.0038870649150848924,0.553113258185722,0.040367483021292186,0.1815868036661837,0.1266255223359603
64 (LeakyReLU + ADAM lr=0.001),[64],LeakyReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (LeakyReLU + ADAM lr=0.0001),[64],LeakyReLU,adam,0.0001,0.8911008230452675,0.12540352570742175,0.49208266237251747,0.013168073966610551,0.014543933603424802,0.023470456546836774
64 (LeakyReLU + SGD lr=0.1),[64],LeakyReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
64 (LeakyReLU + SGD lr=0.01),[64],LeakyReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
